code,num
C1072,696.274489644152
C1128,1185.200879192485
C1456,516.2783351446325
C1840,520.5913680153607
C1332,1107.6785248372225
C1563,1684.929674838354
C1794,960.3761205802408
C1640,445.6422989057633
C1377,346.86566911614045
C2072,282.91603173661866
C1472,461.29605042594096
C1006,210.97265332801956
C1083,389.6858049974263
C1311,265.3218008634121
C2676,265.7034388414182
C2318,205.75222005803488
C1603,539.4282576290497
C2523,344.6260033152595
C2177,162.74743243281483
C2411,696.547729296086
C2033,212.67647711250154
C1604,393.8881141234265
C2535,396.07492808711277
C1040,431.06571727632763
C2417,364.3295298786664
C1812,136.3698953700446
C2253,149.28463230520978
C1294,532.2023773157507
C1772,499.36047268600936
C2646,452.66929449269765
C1152,834.5961397152759
C2423,162.1485616501508
C1844,545.0562690268379
C1318,253.3872389383633
C1729,105.9574722751647
C1602,350.65304730248585
C1239,426.28380124377367
C1721,591.8091163953167
C1902,848.94194261851
C1855,336.18397355742206
C2600,417.1747909795383
C1071,495.16959652351863
C2295,421.27062080810924
C1621,570.59569979912
C1852,820.4733720347298
C2555,1345.459224222432
C1297,449.36106439687256
C2323,573.8134799531116
C2215,418.19227979579915
C2112,369.82984702233983
C1830,806.4065131877879
C2602,275.5339025164498
C2608,1031.8353272334678
C1215,639.9314762122401
C2369,574.3783805458372
C1158,228.73326894382689
C1887,554.5707848640818
C1189,278.6745908186487
C1637,452.64120449562444
C1225,172.590787026077
C2374,344.3136865586492
C2397,541.0658835429673
C1105,932.5027582279893
C1782,429.18966661894075
C1629,183.86214878555776
C1708,274.31483280695284
C2144,466.84288684188977
C1617,796.5383865204554
C1149,529.8019669939147
C1323,423.9584837248323
C1064,743.7236995272871
C1019,282.81929669477546
C2269,592.6093475534392
C1416,877.5847235483102
C1250,979.2137252311547
C1741,426.1118926094136
C1016,670.577281792702
C2436,628.2110778584196
C2039,976.6154633903354
C1253,886.9482992922117
C2028,1100.425239048882
C1166,316.3318785514859
C1135,233.74223750458725
C1216,303.7563265159903
C1593,238.03609930867012
C1826,211.6361367450605
C1827,374.57160546911314
C1564,314.48552420255965
C1495,1012.6643251756071
C2653,825.944993852226
C1392,711.9752177940234
C2128,294.9571725510706
C1282,626.0326695723105
C1521,1055.0700494200757
C2076,961.3887573093589
C1060,621.514221015072
C2473,1166.389981966786
C2557,657.725002673677
C1835,818.0115038165698
C2224,626.4932856065734
C2222,410.66795569458105
C2430,851.7649658601894
C2497,696.2697435509925
C1494,1119.5756172998124
C1457,585.7987563513136
C1525,1111.9565493863179
C1712,695.8704919780637
C2267,994.1493993617408
C1623,284.3569266844354
C2131,563.448636709777
C2691,1113.206332749417
C1147,822.7024791032436
C1692,952.3348205599575
C1570,852.0504078892891
C1474,119.81413022725319
C1633,118.39001502160366
C2113,585.6246442425024
C2175,904.8264779975719
C2303,1485.9215117725948
C2547,553.8106861017619
C2292,831.5614687434329
C1496,766.1054778796173
C1289,381.4942234753585
C1849,806.6718119547758
C1003,274.71025787387725
C2268,455.51703872287123
C2551,612.4387490059664
C2688,98.95615583666637
C1030,27.640189812075967
C2451,565.6395497196104
C1749,491.1335140715464
C1349,317.86369779517094
C2043,277.17161811448443
C1229,270.28491638762563
C2363,472.7648100058772
C1414,454.55442364434305
C2174,483.8308608933224
C2091,124.54698017917276
C1841,60.43805920689777
C2404,123.30905240194369
C1683,238.21598100909898
C1038,307.269887797614
C2456,258.18584895512856
C1266,488.41013989899915
C2152,29.70012980492527
C1267,381.0018673885866
C2189,218.69612389476728
C2675,0
C2335,0
C1327,0
